Student_ID,Gender,Age,Department,Year,Attendance,Quiz_Marks,Assignment_Marks,Midterm_Marks,Final_Marks,Semester,Academic_Year,GPA
100653,Male,18,Mechanical,2nd Year,91,97,95,56,80,Semester 1,2023-2024,3.21
100654,Male,19,Civil,1st Year,74,52,81,95,70,Semester 1,2022-2023,3.05
100655,Female,18,Electronics,1st Year,59,100,97,65,83,Semester 2,2025-2026,3.38
100656,Male,21,Civil,4th Year,66,94,81,43,92,Semester 1,2024-2025,3.09
100657,Male,20,Mechanical,2nd Year,54,51,86,57,75,Semester 1,2022-2023,2.79
100658,Male,21,Computer Science,4th Year,62,50,90,67,98,Semester 1,2025-2026,3.24
100659,Female,24,Computer Science,1st Year,76,82,83,54,72,Semester 2,2025-2026,2.87
100660,Female,24,Electronics,1st Year,62,77,46,60,58,Semester 1,2024-2025,2.33
100661,Female,22,Mechanical,1st Year,82,55,40,92,73,Semester 1,2023-2024,2.67
100662,Male,23,Mechanical,4th Year,94,46,73,76,47,Semester 2,2023-2024,2.42
100663,Male,23,Mechanical,4th Year,86,69,57,97,74,Semester 1,2022-2023,2.99
100664,Female,23,Information Technology,3rd Year,85,60,75,44,91,Semester 2,2023-2024,2.82
100665,Male,22,Computer Science,2nd Year,71,79,93,64,56,Semester 1,2024-2025,2.83
100666,Male,22,Mechanical,2nd Year,99,69,62,91,51,Semester 2,2025-2026,2.66
100667,Female,20,Electronics,3rd Year,61,82,72,84,100,Semester 1,2024-2025,3.45
100668,Female,23,Business,1st Year,68,45,91,71,73,Semester 2,2022-2023,2.91
100669,Male,21,Information Technology,3rd Year,71,84,75,91,71,Semester 1,2022-2023,3.16
100670,Male,22,Mechanical,4th Year,55,46,41,69,56,Semester 2,2023-2024,2.16
100671,Male,21,Computer Science,1st Year,74,83,58,43,72,Semester 2,2022-2023,2.52
100672,Female,19,Business,2nd Year,97,87,93,97,99,Semester 2,2025-2026,3.81
100673,Female,23,Information Technology,2nd Year,53,93,51,44,79,Semester 2,2022-2023,2.61
100674,Female,22,Civil,2nd Year,74,95,68,99,69,Semester 1,2024-2025,3.21
100675,Female,22,Electronics,4th Year,68,41,70,78,54,Semester 1,2022-2023,2.48
100676,Male,20,Computer Science,1st Year,59,66,64,66,66,Semester 1,2023-2024,2.62
100677,Female,21,Civil,3rd Year,74,89,87,85,41,Semester 2,2022-2023,2.83
100678,Female,20,Computer Science,4th Year,67,57,89,87,61,Semester 2,2023-2024,2.96
100679,Female,20,Electronics,4th Year,100,59,99,63,44,Semester 2,2024-2025,2.59
100680,Female,21,Mechanical,3rd Year,95,72,49,90,59,Semester 2,2022-2023,2.65
100681,Female,19,Civil,3rd Year,59,56,77,48,75,Semester 1,2023-2024,2.64
100682,Male,21,Civil,1st Year,52,42,68,87,42,Semester 1,2022-2023,2.39
100683,Male,19,Information Technology,2nd Year,86,59,96,96,79,Semester 1,2022-2023,3.38
100684,Female,20,Mechanical,2nd Year,92,71,92,61,48,Semester 1,2024-2025,2.63
100685,Male,19,Electronics,4th Year,52,95,43,75,57,Semester 2,2024-2025,2.55
100686,Female,23,Business,2nd Year,83,77,95,94,46,Semester 2,2022-2023,3.0
100687,Female,19,Information Technology,2nd Year,56,52,83,47,96,Semester 2,2025-2026,2.96
100688,Male,19,Civil,3rd Year,74,75,79,69,61,Semester 1,2022-2023,2.78
100689,Male,22,Computer Science,2nd Year,54,80,81,45,78,Semester 1,2025-2026,2.83
100690,Female,22,Electronics,2nd Year,79,79,46,57,91,Semester 1,2025-2026,2.78
100691,Female,24,Information Technology,2nd Year,69,100,66,51,82,Semester 2,2025-2026,2.92
100692,Female,20,Business,2nd Year,50,79,89,58,57,Semester 1,2022-2023,2.74
100693,Male,21,Mechanical,1st Year,96,56,74,40,45,Semester 2,2023-2024,2.11
100694,Female,19,Business,4th Year,65,61,64,82,96,Semester 1,2024-2025,3.17
100695,Female,23,Computer Science,1st Year,96,54,55,61,42,Semester 1,2025-2026,2.07
100696,Female,22,Information Technology,3rd Year,64,54,95,84,81,Semester 1,2022-2023,3.25
100697,Male,21,Electronics,2nd Year,78,51,85,71,69,Semester 1,2023-2024,2.83
100698,Female,23,Computer Science,1st Year,74,47,83,83,95,Semester 1,2025-2026,3.27
100699,Female,19,Information Technology,3rd Year,62,61,85,54,85,Semester 1,2022-2023,2.95
100700,Male,21,Information Technology,1st Year,64,68,97,55,93,Semester 2,2023-2024,3.23
100701,Female,24,Business,4th Year,82,90,90,64,78,Semester 1,2025-2026,3.17
100702,Female,23,Electronics,3rd Year,95,51,54,86,74,Semester 2,2024-2025,2.74
100703,Male,18,Mechanical,4th Year,84,75,80,89,98,Semester 2,2023-2024,3.51
100704,Female,23,Computer Science,3rd Year,55,48,47,88,56,Semester 1,2022-2023,2.42
100705,Male,23,Business,2nd Year,82,95,80,40,91,Semester 1,2024-2025,3.04
100706,Male,19,Information Technology,3rd Year,80,55,58,71,45,Semester 2,2025-2026,2.25
100707,Female,21,Business,2nd Year,86,85,95,40,94,Semester 1,2022-2023,3.18
100708,Female,19,Business,2nd Year,100,64,40,83,84,Semester 2,2022-2023,2.79
100709,Female,19,Business,2nd Year,52,53,55,97,83,Semester 2,2025-2026,3.0
100710,Female,18,Electronics,3rd Year,63,73,84,66,68,Semester 2,2025-2026,2.89
100711,Male,24,Information Technology,4th Year,50,77,48,72,74,Semester 2,2023-2024,2.7
100712,Female,23,Electronics,3rd Year,83,65,78,56,68,Semester 2,2025-2026,2.68
100713,Male,21,Electronics,3rd Year,89,69,78,50,69,Semester 1,2023-2024,2.66
100714,Female,24,Information Technology,2nd Year,79,63,61,80,48,Semester 1,2022-2023,2.46
100715,Female,20,Business,3rd Year,89,91,94,57,92,Semester 1,2023-2024,3.34
100716,Female,22,Business,1st Year,55,59,66,97,67,Semester 2,2022-2023,2.92
100717,Male,24,Electronics,2nd Year,59,57,51,68,63,Semester 2,2023-2024,2.41
100718,Female,19,Computer Science,4th Year,82,84,66,82,87,Semester 2,2024-2025,3.2
100719,Female,19,Business,1st Year,98,57,61,67,91,Semester 2,2023-2024,2.9
100720,Female,19,Electronics,3rd Year,63,86,49,69,74,Semester 1,2024-2025,2.73
100721,Female,19,Mechanical,4th Year,61,60,44,52,97,Semester 1,2025-2026,2.68
100722,Male,22,Mechanical,1st Year,56,58,43,61,73,Semester 1,2025-2026,2.41
100723,Female,20,Electronics,4th Year,54,40,44,73,54,Semester 1,2022-2023,2.17
100724,Male,18,Computer Science,1st Year,72,78,98,68,47,Semester 2,2022-2023,2.79
100725,Male,20,Business,1st Year,87,86,54,54,58,Semester 1,2025-2026,2.41
100726,Male,22,Civil,4th Year,76,86,95,85,42,Semester 2,2022-2023,2.9
100727,Male,21,Civil,4th Year,62,49,93,91,43,Semester 2,2024-2025,2.74
100728,Male,18,Computer Science,2nd Year,54,90,96,68,74,Semester 2,2022-2023,3.22
100729,Male,18,Mechanical,3rd Year,53,40,98,52,77,Semester 2,2022-2023,2.82
100730,Female,21,Electronics,2nd Year,59,100,45,49,82,Semester 1,2025-2026,2.69
100731,Male,23,Information Technology,4th Year,94,75,49,77,75,Semester 1,2022-2023,2.76
100732,Male,19,Electronics,4th Year,78,47,61,50,56,Semester 2,2022-2023,2.18
100733,Male,22,Electronics,3rd Year,62,68,68,48,89,Semester 2,2023-2024,2.81
100734,Female,21,Civil,4th Year,69,67,45,66,43,Semester 2,2022-2023,2.11
100735,Female,20,Electronics,2nd Year,75,81,78,92,48,Semester 2,2025-2026,2.86
100736,Male,20,Civil,1st Year,88,69,57,61,65,Semester 1,2025-2026,2.5
100737,Female,23,Information Technology,1st Year,61,71,41,41,78,Semester 1,2023-2024,2.34
100738,Male,21,Electronics,2nd Year,67,89,76,79,90,Semester 2,2023-2024,3.34
100739,Male,22,Computer Science,1st Year,78,96,52,93,57,Semester 2,2023-2024,2.82
100740,Female,23,Electronics,1st Year,77,44,61,93,53,Semester 1,2024-2025,2.55
100741,Male,23,Business,3rd Year,84,89,47,64,70,Semester 2,2024-2025,2.62
100742,Female,23,Business,4th Year,54,88,59,96,68,Semester 2,2022-2023,3.03
100743,Female,18,Computer Science,3rd Year,51,60,83,80,97,Semester 1,2024-2025,3.35
100744,Male,18,Civil,2nd Year,57,75,76,43,95,Semester 2,2024-2025,2.97
100745,Male,19,Electronics,3rd Year,82,71,91,56,40,Semester 1,2023-2024,2.46
100746,Female,22,Civil,2nd Year,65,48,50,98,74,Semester 1,2024-2025,2.8
100747,Male,20,Computer Science,2nd Year,72,91,55,63,68,Semester 1,2023-2024,2.68
100748,Male,20,Civil,3rd Year,65,73,89,82,97,Semester 1,2023-2024,3.51
100749,Male,19,Mechanical,2nd Year,56,46,81,58,50,Semester 1,2025-2026,2.37
100750,Female,20,Business,1st Year,72,90,62,59,58,Semester 2,2023-2024,2.56
100751,Female,23,Computer Science,1st Year,80,90,96,48,75,Semester 1,2025-2026,3.03
100752,Male,19,Civil,1st Year,97,61,100,93,70,Semester 1,2024-2025,3.28
100753,Female,19,Electronics,2nd Year,65,86,76,48,69,Semester 2,2022-2023,2.72
100754,Female,21,Civil,3rd Year,84,92,64,72,88,Semester 1,2022-2023,3.14
100755,Female,18,Information Technology,2nd Year,84,74,95,47,74,Semester 1,2022-2023,2.9
100756,Female,22,Computer Science,1st Year,51,75,93,81,82,Semester 2,2025-2026,3.34
100757,Female,22,Civil,4th Year,76,51,73,76,83,Semester 1,2024-2025,2.96
100758,Male,18,Business,1st Year,68,69,85,79,66,Semester 2,2023-2024,2.98
100759,Male,23,Mechanical,1st Year,87,44,93,40,80,Semester 1,2025-2026,2.71
100760,Male,22,Business,3rd Year,53,46,89,72,76,Semester 2,2025-2026,2.95
100761,Female,20,Information Technology,1st Year,91,84,72,83,57,Semester 1,2024-2025,2.85
100762,Female,20,Computer Science,2nd Year,92,84,58,66,49,Semester 2,2022-2023,2.43
100763,Male,22,Information Technology,1st Year,75,41,45,43,89,Semester 2,2022-2023,2.37
100764,Female,24,Electronics,4th Year,52,77,64,97,90,Semester 1,2025-2026,3.33
100765,Male,24,Mechanical,3rd Year,54,75,50,64,51,Semester 1,2024-2025,2.3
100766,Male,21,Electronics,2nd Year,54,69,94,55,64,Semester 1,2024-2025,2.8
100767,Male,22,Business,1st Year,82,60,64,47,94,Semester 1,2023-2024,2.79
100768,Female,19,Business,3rd Year,81,76,80,95,44,Semester 2,2023-2024,2.82
100769,Female,23,Civil,3rd Year,64,49,78,93,79,Semester 2,2024-2025,3.11
100770,Male,19,Information Technology,4th Year,73,79,76,58,98,Semester 1,2024-2025,3.19
100771,Male,18,Electronics,1st Year,72,65,62,44,94,Semester 1,2023-2024,2.77
100772,Male,23,Civil,3rd Year,82,60,91,45,68,Semester 1,2025-2026,2.67
100773,Male,23,Mechanical,1st Year,55,49,65,53,78,Semester 2,2023-2024,2.57
100774,Female,20,Business,2nd Year,63,76,93,89,49,Semester 2,2022-2023,2.96
100775,Female,23,Electronics,2nd Year,99,73,76,80,49,Semester 2,2022-2023,2.68
100776,Male,21,Information Technology,3rd Year,80,44,94,60,85,Semester 2,2022-2023,2.99
100777,Male,22,Electronics,2nd Year,75,88,92,95,99,Semester 2,2025-2026,3.78
100778,Female,19,Mechanical,4th Year,97,97,49,61,58,Semester 1,2024-2025,2.49
100779,Female,20,Civil,1st Year,98,40,79,66,82,Semester 2,2023-2024,2.84
100780,Male,24,Electronics,2nd Year,89,59,41,73,69,Semester 2,2022-2023,2.46
100781,Male,20,Electronics,2nd Year,53,57,51,40,89,Semester 2,2022-2023,2.5
100782,Male,21,Business,1st Year,68,92,48,100,82,Semester 2,2025-2026,3.18
100783,Female,21,Computer Science,4th Year,50,74,57,46,90,Semester 1,2024-2025,2.73
100784,Female,21,Civil,1st Year,60,82,72,95,81,Semester 2,2025-2026,3.3
100785,Female,21,Business,3rd Year,58,64,92,74,52,Semester 1,2024-2025,2.77
100786,Male,24,Computer Science,1st Year,57,80,40,50,62,Semester 2,2022-2023,2.25
100787,Male,19,Computer Science,4th Year,73,77,66,47,79,Semester 1,2022-2023,2.7
100788,Female,21,Business,1st Year,57,73,43,83,41,Semester 2,2023-2024,2.27
100789,Female,20,Mechanical,4th Year,70,99,66,100,61,Semester 1,2023-2024,3.11
100790,Male,20,Mechanical,4th Year,54,76,88,68,85,Semester 2,2022-2023,3.21
100791,Female,24,Information Technology,2nd Year,96,83,83,83,76,Semester 1,2024-2025,3.22
100792,Female,23,Business,1st Year,73,57,57,43,60,Semester 1,2025-2026,2.18
100793,Male,22,Civil,4th Year,73,70,83,71,64,Semester 2,2022-2023,2.86
100794,Female,20,Civil,1st Year,99,79,59,69,98,Semester 2,2024-2025,3.13
100795,Male,20,Mechanical,2nd Year,93,96,80,57,72,Semester 1,2023-2024,2.95
100796,Male,24,Mechanical,3rd Year,83,76,54,85,92,Semester 2,2023-2024,3.13
100797,Male,19,Computer Science,1st Year,87,51,66,96,51,Semester 2,2023-2024,2.64
100798,Male,23,Mechanical,4th Year,80,47,47,52,82,Semester 1,2024-2025,2.42
100799,Male,20,Electronics,4th Year,77,62,70,54,81,Semester 2,2022-2023,2.75
100800,Male,18,Civil,2nd Year,80,71,51,46,71,Semester 1,2024-2025,2.39
100801,Male,20,Information Technology,3rd Year,92,61,53,40,98,Semester 2,2025-2026,2.67
100802,Female,22,Computer Science,4th Year,51,94,76,46,44,Semester 1,2025-2026,2.4
100803,Male,22,Electronics,3rd Year,76,80,67,60,63,Semester 1,2025-2026,2.63
100804,Male,23,Mechanical,4th Year,88,72,84,52,100,Semester 1,2023-2024,3.19
100805,Female,23,Information Technology,4th Year,68,84,59,86,62,Semester 2,2025-2026,2.82
100806,Female,21,Mechanical,3rd Year,61,72,57,73,61,Semester 2,2022-2023,2.59
100807,Female,19,Business,4th Year,58,91,60,61,66,Semester 2,2023-2024,2.68
100808,Male,22,Electronics,3rd Year,96,42,54,91,58,Semester 1,2022-2023,2.51
100809,Female,18,Business,2nd Year,78,50,80,73,74,Semester 2,2024-2025,2.87
100810,Male,18,Business,3rd Year,78,51,47,75,93,Semester 1,2024-2025,2.83
100811,Male,21,Information Technology,2nd Year,74,80,65,64,55,Semester 2,2022-2023,2.54
100812,Male,19,Business,3rd Year,80,65,43,51,57,Semester 2,2023-2024,2.13
100813,Male,19,Mechanical,2nd Year,100,48,94,57,84,Semester 2,2024-2025,2.97
100814,Female,23,Electronics,3rd Year,75,48,52,82,46,Semester 2,2023-2024,2.27
100815,Female,20,Electronics,2nd Year,75,94,49,46,85,Semester 2,2025-2026,2.7
100816,Male,18,Information Technology,1st Year,61,52,40,49,55,Semester 2,2022-2023,1.97
100817,Male,18,Business,4th Year,85,54,67,74,72,Semester 2,2023-2024,2.74
100818,Male,24,Business,1st Year,86,81,72,63,76,Semester 1,2023-2024,2.9
100819,Female,18,Electronics,2nd Year,72,88,62,56,76,Semester 2,2025-2026,2.77
100820,Male,18,Mechanical,3rd Year,64,62,77,55,62,Semester 2,2022-2023,2.56
100821,Male,24,Information Technology,1st Year,58,81,60,74,49,Semester 1,2023-2024,2.51
100822,Female,22,Business,1st Year,77,81,61,43,59,Semester 1,2024-2025,2.35
100823,Female,19,Business,2nd Year,73,64,100,90,54,Semester 1,2024-2025,3.04
100824,Male,20,Computer Science,2nd Year,96,79,55,87,90,Semester 1,2024-2025,3.15
100825,Female,22,Electronics,2nd Year,72,69,72,86,77,Semester 2,2024-2025,3.07
100826,Female,19,Mechanical,2nd Year,96,92,79,89,56,Semester 1,2024-2025,3.02
100827,Male,21,Information Technology,2nd Year,100,77,50,69,58,Semester 2,2025-2026,2.46
100828,Female,18,Business,1st Year,80,64,88,48,71,Semester 1,2025-2026,2.74
100829,Male,20,Computer Science,2nd Year,79,62,78,83,85,Semester 1,2022-2023,3.17
100830,Female,19,Computer Science,3rd Year,100,86,74,57,54,Semester 1,2022-2023,2.58
100831,Male,21,Civil,2nd Year,85,61,88,98,94,Semester 2,2023-2024,3.54
100832,Male,18,Business,4th Year,80,54,94,51,73,Semester 1,2023-2024,2.8
100833,Male,21,Civil,4th Year,98,98,47,56,97,Semester 1,2025-2026,2.98
100834,Female,24,Business,4th Year,94,89,70,47,81,Semester 2,2024-2025,2.84
100835,Male,21,Information Technology,3rd Year,62,92,78,52,91,Semester 1,2023-2024,3.13
100836,Female,22,Electronics,1st Year,56,85,40,83,89,Semester 2,2023-2024,2.99
100837,Male,21,Business,4th Year,79,94,54,61,80,Semester 2,2022-2023,2.83
100838,Male,22,Mechanical,1st Year,54,42,98,100,57,Semester 1,2024-2025,3.03
100839,Female,23,Electronics,4th Year,61,53,48,90,55,Semester 1,2024-2025,2.47
100840,Male,22,Mechanical,2nd Year,80,50,71,79,43,Semester 2,2023-2024,2.4
100841,Male,24,Mechanical,1st Year,91,41,55,43,61,Semester 2,2023-2024,2.08
100842,Female,24,Civil,1st Year,96,82,64,52,91,Semester 2,2022-2023,2.93
100843,Male,21,Civil,3rd Year,71,92,58,51,60,Semester 1,2025-2026,2.48
100844,Male,19,Electronics,1st Year,71,86,88,69,47,Semester 1,2023-2024,2.74
100845,Male,21,Information Technology,2nd Year,50,93,64,86,46,Semester 2,2024-2025,2.7
100846,Male,21,Mechanical,1st Year,71,77,70,63,96,Semester 2,2022-2023,3.14
100847,Female,19,Civil,4th Year,57,50,87,48,57,Semester 1,2022-2023,2.45
100848,Female,18,Information Technology,1st Year,66,71,66,72,96,Semester 2,2024-2025,3.15
100849,Male,20,Civil,3rd Year,97,99,92,66,48,Semester 1,2022-2023,2.85
100850,Female,23,Mechanical,3rd Year,86,93,73,77,82,Semester 1,2025-2026,3.21
100851,Male,18,Computer Science,4th Year,76,62,79,83,85,Semester 1,2022-2023,3.18
100852,Female,21,Civil,2nd Year,91,48,60,93,90,Semester 1,2022-2023,3.08
100853,Male,18,Information Technology,1st Year,63,62,80,70,53,Semester 2,2023-2024,2.61
100854,Male,20,Electronics,1st Year,83,72,97,99,99,Semester 1,2022-2023,3.78
100855,Male,24,Electronics,3rd Year,82,72,84,64,58,Semester 1,2023-2024,2.72
100856,Male,18,Mechanical,1st Year,54,96,97,90,76,Semester 1,2022-2023,3.51
100857,Male,20,Business,4th Year,91,42,82,67,59,Semester 2,2025-2026,2.57
100858,Male,18,Computer Science,4th Year,73,63,46,99,79,Semester 2,2023-2024,2.93
100859,Female,22,Civil,3rd Year,53,70,92,43,64,Semester 1,2025-2026,2.67
100860,Male,21,Business,4th Year,70,88,42,87,78,Semester 1,2025-2026,2.91
100861,Female,20,Civil,4th Year,74,75,52,42,57,Semester 1,2023-2024,2.19
100862,Male,23,Computer Science,4th Year,74,90,75,81,97,Semester 2,2025-2026,3.46
100863,Female,21,Mechanical,2nd Year,69,50,91,81,79,Semester 1,2022-2023,3.13
100864,Female,22,Mechanical,3rd Year,92,62,89,62,64,Semester 2,2022-2023,2.78
100865,Female,24,Information Technology,4th Year,71,90,42,86,51,Semester 2,2025-2026,2.53
100866,Male,18,Information Technology,4th Year,81,44,44,94,48,Semester 1,2025-2026,2.32
100867,Male,21,Information Technology,4th Year,83,84,78,80,68,Semester 2,2025-2026,3.04
100868,Female,18,Mechanical,4th Year,68,57,88,60,51,Semester 1,2024-2025,2.54
100869,Male,18,Civil,2nd Year,50,86,95,85,92,Semester 1,2022-2023,3.6
100870,Female,21,Electronics,1st Year,66,42,49,95,89,Semester 2,2023-2024,2.94
100871,Male,20,Mechanical,1st Year,71,72,73,82,42,Semester 2,2024-2025,2.57
100872,Female,20,Computer Science,3rd Year,87,69,67,84,88,Semester 2,2025-2026,3.16
100873,Female,21,Electronics,2nd Year,86,83,92,57,54,Semester 2,2025-2026,2.74
100874,Male,20,Mechanical,3rd Year,66,99,81,63,88,Semester 1,2025-2026,3.27
100875,Female,19,Business,1st Year,91,90,72,81,82,Semester 1,2025-2026,3.22
100876,Male,18,Mechanical,3rd Year,67,70,49,80,79,Semester 1,2023-2024,2.82
100877,Female,21,Information Technology,1st Year,90,79,65,43,99,Semester 1,2022-2023,2.94
100878,Female,23,Civil,3rd Year,88,68,100,70,99,Semester 1,2025-2026,3.49
100879,Male,22,Business,2nd Year,97,100,91,87,41,Semester 1,2024-2025,2.95
100880,Male,24,Civil,2nd Year,60,58,97,78,79,Semester 2,2024-2025,3.2
100881,Male,21,Electronics,4th Year,62,72,76,52,86,Semester 1,2025-2026,2.92
100882,Female,21,Mechanical,2nd Year,57,93,95,94,78,Semester 1,2024-2025,3.54
100883,Male,18,Information Technology,3rd Year,81,40,96,73,73,Semester 2,2025-2026,2.95
100884,Female,22,Business,1st Year,50,84,91,47,79,Semester 1,2025-2026,2.99
100885,Female,18,Computer Science,3rd Year,94,58,41,79,46,Semester 1,2024-2025,2.19
100886,Male,23,Mechanical,1st Year,61,73,54,73,95,Semester 1,2025-2026,3.04
100887,Male,24,Information Technology,4th Year,61,82,79,89,94,Semester 1,2025-2026,3.49
100888,Female,20,Computer Science,4th Year,96,42,89,92,86,Semester 2,2022-2023,3.27
100889,Female,21,Computer Science,2nd Year,84,68,61,91,63,Semester 1,2024-2025,2.81
100890,Male,18,Electronics,4th Year,56,97,84,71,100,Semester 1,2022-2023,3.53
100891,Male,24,Civil,4th Year,68,69,40,75,48,Semester 1,2025-2026,2.24
100892,Male,23,Civil,2nd Year,73,49,70,99,48,Semester 1,2023-2024,2.66
100893,Male,23,Electronics,3rd Year,55,41,96,69,62,Semester 2,2024-2025,2.76
100894,Male,24,Mechanical,1st Year,84,88,56,58,91,Semester 1,2023-2024,2.94
100895,Female,19,Business,1st Year,50,50,47,74,51,Semester 1,2025-2026,2.22
100896,Female,21,Information Technology,1st Year,89,44,93,57,58,Semester 2,2025-2026,2.58
100897,Female,23,Business,3rd Year,96,70,88,57,97,Semester 1,2023-2024,3.23
100898,Female,24,Business,4th Year,89,75,83,59,73,Semester 2,2023-2024,2.89
100899,Male,20,Civil,1st Year,94,88,88,84,46,Semester 2,2024-2025,2.89
100900,Male,18,Business,4th Year,93,100,61,84,55,Semester 1,2022-2023,2.82
100901,Male,18,Electronics,4th Year,74,100,45,41,62,Semester 1,2025-2026,2.33
100902,Female,19,Civil,4th Year,56,42,69,85,90,Semester 1,2025-2026,3.05
100903,Female,20,Civil,4th Year,65,65,71,66,84,Semester 1,2024-2025,2.94
100904,Male,23,Civil,3rd Year,82,67,75,48,78,Semester 2,2022-2023,2.72
100905,Male,24,Mechanical,2nd Year,50,44,50,72,65,Semester 2,2023-2024,2.39
100906,Female,19,Electronics,2nd Year,72,78,84,83,76,Semester 1,2023-2024,3.2
100907,Female,23,Civil,2nd Year,79,70,53,89,61,Semester 2,2022-2023,2.69
100908,Male,23,Civil,4th Year,56,69,58,54,46,Semester 1,2023-2024,2.18
100909,Male,21,Electronics,4th Year,84,88,41,69,71,Semester 2,2024-2025,2.62
100910,Female,22,Computer Science,2nd Year,78,48,44,55,98,Semester 2,2022-2023,2.65
100911,Male,24,Business,4th Year,87,46,91,58,70,Semester 1,2023-2024,2.75
100912,Male,23,Mechanical,4th Year,55,74,79,86,47,Semester 1,2022-2023,2.75
100913,Male,18,Mechanical,3rd Year,85,97,63,43,76,Semester 1,2023-2024,2.71
100914,Female,23,Business,3rd Year,81,60,79,66,88,Semester 1,2023-2024,3.04
100915,Female,19,Information Technology,3rd Year,58,44,74,45,43,Semester 2,2024-2025,2.06
100916,Female,24,Information Technology,2nd Year,69,62,78,60,47,Semester 1,2024-2025,2.41
100917,Female,23,Business,2nd Year,69,70,98,79,42,Semester 1,2024-2025,2.78
100918,Female,24,Computer Science,1st Year,77,73,94,78,100,Semester 2,2025-2026,3.56
100919,Female,18,Information Technology,3rd Year,79,59,59,52,100,Semester 2,2024-2025,2.86
100920,Female,18,Civil,1st Year,96,60,80,93,95,Semester 1,2024-2025,3.42
100921,Male,19,Civil,2nd Year,54,90,67,92,62,Semester 1,2025-2026,3.0
100922,Male,18,Business,1st Year,96,55,84,94,60,Semester 2,2022-2023,2.95
100923,Male,20,Information Technology,4th Year,67,64,63,97,96,Semester 2,2024-2025,3.33
100924,Male,20,Business,4th Year,55,46,81,67,86,Semester 1,2025-2026,2.96
100925,Male,22,Mechanical,2nd Year,56,47,95,92,56,Semester 1,2022-2023,2.94
100926,Male,24,Computer Science,4th Year,52,70,41,88,63,Semester 2,2025-2026,2.59
100927,Male,20,Civil,4th Year,86,97,81,76,44,Semester 1,2023-2024,2.77
100928,Female,19,Computer Science,1st Year,61,41,43,57,97,Semester 1,2025-2026,2.6
100929,Female,23,Information Technology,4th Year,82,61,59,41,57,Semester 2,2025-2026,2.16
100930,Male,20,Electronics,3rd Year,73,41,85,73,59,Semester 1,2024-2025,2.65
100931,Male,22,Business,2nd Year,69,92,53,72,58,Semester 1,2023-2024,2.61
100932,Female,24,Business,3rd Year,75,70,77,64,78,Semester 2,2025-2026,2.92
100933,Male,21,Computer Science,3rd Year,86,54,100,42,66,Semester 2,2024-2025,2.67
100934,Male,21,Computer Science,1st Year,53,45,50,70,94,Semester 1,2024-2025,2.79
100935,Female,19,Information Technology,4th Year,80,43,71,90,47,Semester 2,2024-2025,2.53
100936,Male,22,Information Technology,2nd Year,99,62,83,40,45,Semester 1,2025-2026,2.23
100937,Female,20,Civil,1st Year,74,63,40,62,99,Semester 2,2025-2026,2.78
100938,Male,22,Electronics,4th Year,79,85,71,43,96,Semester 1,2023-2024,2.99
100939,Female,18,Electronics,3rd Year,98,78,49,55,96,Semester 2,2022-2023,2.85
100940,Female,22,Computer Science,2nd Year,66,71,76,92,88,Semester 1,2024-2025,3.34
100941,Female,20,Electronics,1st Year,80,67,75,47,73,Semester 1,2022-2023,2.64
100942,Male,19,Information Technology,3rd Year,89,97,51,66,71,Semester 1,2025-2026,2.75
100943,Female,18,Business,3rd Year,63,64,44,47,52,Semester 1,2022-2023,2.02
100944,Male,22,Information Technology,1st Year,82,92,66,86,41,Semester 1,2024-2025,2.65
100945,Male,21,Information Technology,3rd Year,63,92,59,56,74,Semester 2,2025-2026,2.74
100946,Male,20,Computer Science,4th Year,96,85,46,40,97,Semester 1,2023-2024,2.73
100947,Male,19,Mechanical,3rd Year,92,90,74,45,78,Semester 1,2023-2024,2.82
100948,Female,23,Information Technology,1st Year,87,78,88,85,85,Semester 2,2025-2026,3.39
100949,Female,20,Electronics,4th Year,68,53,90,84,83,Semester 2,2024-2025,3.22
100950,Male,22,Electronics,1st Year,87,95,61,78,66,Semester 1,2023-2024,2.88
100951,Male,24,Information Technology,4th Year,92,81,94,63,58,Semester 1,2023-2024,2.87
100952,Female,19,Business,3rd Year,66,74,44,84,84,Semester 2,2025-2026,2.9
100953,Male,21,Mechanical,1st Year,82,52,41,91,80,Semester 1,2022-2023,2.75
100954,Female,18,Computer Science,3rd Year,63,93,85,83,92,Semester 1,2024-2025,3.53
100955,Male,22,Information Technology,4th Year,78,60,50,79,56,Semester 1,2024-2025,2.43
100956,Male,19,Computer Science,2nd Year,55,81,41,70,74,Semester 1,2024-2025,2.63
100957,Female,18,Mechanical,4th Year,73,76,45,50,90,Semester 2,2022-2023,2.67
100958,Male,24,Information Technology,3rd Year,77,94,67,99,61,Semester 1,2023-2024,3.08
100959,Female,19,Business,1st Year,85,50,87,54,76,Semester 1,2025-2026,2.77
100960,Male,23,Information Technology,4th Year,52,43,46,72,60,Semester 2,2022-2023,2.28
100961,Male,22,Information Technology,1st Year,87,87,62,95,79,Semester 1,2025-2026,3.2
100962,Male,19,Civil,3rd Year,53,43,63,93,92,Semester 2,2023-2024,3.11
100963,Female,21,Information Technology,3rd Year,87,48,72,71,44,Semester 2,2024-2025,2.33
100964,Male,24,Information Technology,3rd Year,81,77,61,56,98,Semester 2,2023-2024,3.0
100965,Male,19,Business,4th Year,100,97,56,53,75,Semester 2,2022-2023,2.72
